,레시피 이름,식품명,재료,양념,조리순서
21,더위엔 콩국수가 최고! 메주콩으로 진~한 콩국물만들기,콩국수,,,"직접 농사지은 콩이에요
콩국물은 어떤 콩 써야되?!
라고 물으니 메주콩을 사용한다고 하더라구요
전날 저녁 물에 불렀답니다##다음날 아침에 보면
요렇게~ 불어있어요##이제 불린 콩을 삶아줍니다
콩 삶을때 찬물에 처음부터 넣고 삶으면
비린내가 난다고 하셨어요
(할머니 말씀)
그래서 물이 끓으면 그때 콩넣고
8분!!!
거품이 많이 올라와서
거품을 걷어내며 삶아줬답니다##잘 삶아진 콩~
콩껍질 불리해줘야 해요
전...삶은 콩 먹는것도 너무 맛나서
계속 주서 먹었어요##껍질 없는 콩 넣고 물넣고 믹서에 갈아주기
곱게곱게~~##이 채로 먹어도 되요
그럼 굉장히 진~~하고 되직하답니다##저희는 콩비지도 얻을겸~
면포에 갈아진 콩국물을 넣고
짜줬어요##진~하게 나온 콩국물##면포에는 콩비지가 쨘~**
요거...안버리죠!!!!!!!!!!
얼마나 맛나는뎁ㅎㅎㅎ##나온 콩비지는 그날저녁
김장김치+파송송+돼지고기+참기름+소금넣고
비지전 해먹었는데
와........세상 맛남!!!!
요 레시피는 곧 올릴께요##진~하게 우러나온 콩국물은
통에 담고 3일동안 열심히~
콩국수를 만들어 먹었어요
저는 아침마다 콩국물 대접에 담아서 꿀꺽꿀꺽##면삶고~##오이 착착~##콩국물 넣으면
시원~~한 여름별미
콩국수 완성이요~~♬##나만큼이나 콩국수를 좋아하는
딸램씨
집에서 만든건
두번씩 먹었어요....
엄마 또줘~
엄마 또줘!!!!!##"
22,"시원한 열무김치국수 / 열무김치국수 레시피 , 여름철 더위음식 #달래시피",열무김치국수,식초 3T##매실액 4T##설탕 1T##국간장 1T##깨소금 2T##김치국물 700g##,무 1/4개##멸치 3마리##다시마 4개##,"재료를 준비해 주세요.
(육수는 냉장고에서 미리 식혀주세요)
육수는 진하게 우려내주세요.
다시마는 끓기시작 한 후 10분뒤에 빼고, 멸치는 15분 뒤에 빼주세요.
(무를 이용해 진하게 육수를 내주셔야 좋습니다)##열무김치국물과 멸치육수를 섞어주세요.
열무김치의 국물에 있는 굵은 고춧가루들이 들어가지 않게 체로 걸러주셔야 합니다.##위에 준비한 육수재료를 다 넣고 섞어주세요.
이때 개인의 취향에 맞게 단맛이 부족하면 설탕을, 간이 부족하다면 간장대신 김치국물을 조금 더 넣어주세요.
간장을 넣으면 색깔이 탁해지니 김치국물을 이용!
(완성된 육수는 만드는 동안 냉동실에 잠깐 넣어주세요)##계란은 완숙으로 삶아서 껍질을 깐 뒤, 찬물에 넣고 식혀주세요.
완숙은 12분 정도면 완성입니다.##육수와 계란이 준비가 되면 열무김치를 안입크기로 자른 뒤, 식초를 넣어주세요.##그 다음 설탕을 넣어주세요.##마지막으로 고춧가루를 넣고 섞어준 뒤.
김치도 냉동실에 잠깐 보관해주세요.
살얼음이 살짝 얼면서 식감도 좋아질 뿐더러 더 시원하게 드실 수 있습니다.##그 다음 면을 삶고, 찬물로 식혀준 뒤 그릇에 담고 육수를 넣어주세요.
면은 쎈불에서 3~4분정도만 익혀주시면 됩니다.
(끓어오르면 찬물을 한컵 넣어주세요, 면이 쫄깃해 집니다)##그 다음 양념을 한 열무김치를 냉동실에서 꺼낸 뒤 한번 더 섞어줍니다.
밑에 양념이 가라앉아 있으니 뒤적거려주세요.##냉동실에서 꺼낸 열무김치를 국수위에 예쁘게 올려주세요.##마지막으로 계란과 얼음을 넣어주면 완성입니다.##"
23,집밥 백선생 짬뽕,짬뽕,오징어 ##돼지고기 1종이컵##양배추 1컵사발##당근 1종이컵##호박 1컵사발##양파 1컵사발##청양 고추 1소주컵##부추 1종이컵##파 ##,생강 ##후추 ##고춧가루 ##간장 ##소금 ##,"짬뽕에 들어갈 채소,오징어는 미리 손질해서 준비해 준다. 컵라면 용기로 양파,양배추,호박은 1컵정도 부추,돼지고기,당근은 종이컵 1컵 오징어는 2컵 그리고 청양고추는 소주컵으로 1컵정도 준비해 주심되요.##오징어는 적당히 썰어주세요.##팬에 기름을 넣고 파를 볶아서 파기름을 만들어주세요.##파기름 만들때 다진생강도 함께 넣어주세요. 전 생강가루를 넣었어요.##돼지고기를 넣어주세요.##돼지고기를 볶다가 손질된 오징어를 넣어 함께 볶아주세요. 불맛은 프라이팬에 국물이 눌은 것이 포인트!! 센불에서 볶아주세요.##불 맛이 형성되면 이제 간장을 넣어주세요.##채썰어 준비해 두었던 야채를 넣어 주심 된답니다. 양배추,양파,당근,호박 모두 넣어주세요.##칼칼한 맛을 위해 청양고추를 넣어주세요.##이젠 잘 볶아주세요. 여기까지 준비가 80% 짬뽕이 완성된 상태랍니다.##고춧가루 1컵을 넣어주세요.##물기 없이 계속 볶다보면 탈수 있답니다.##타지 않게 물어 넣어주세요. 물은 양에 맞춰 넣어 주심 된답니다.##이제 보글 보글 끓여주면 되요. 여기서 시원한 맛을 위해 홍합을 넣어주면 더 좋아요. 전 홍합이 없어서 패스~~!! 갠적으로 홍합 넣은게 휠씬 좋은듯합니다.##후추가루 톡톡 넣어주세요.##그다음 소금으로 간을 해주심 된답니다.##마무리로 부추 넣으면 완성!!##삶은 면에 짬뽕 건더기를 골고루~ 듬뿍 올려주면 되요!!##완성입니다.##"
24,"우리집 보양식..통영 장어탕, 장어탕",장어탕,손질한 장어 4마리(600g)##식용유 2큰술##참기름 1큰술##다진마늘 1큰술##대파 2대##고추가루 2+1/2큰술##국간장 4큰술##멸치다시마 끓인물 7컵##콩나물 350g##깻잎 10장##,,"뼈를 제거해 손질해서 파는 장어를 구입했습니다. 손질한 장어 4마리...600g을 깨끗하게 씻어 한입크기로 잘라 주었습니다.##달군 냄비에 식용유 2큰술, 참기름 1큰술을 두르고 다진마늘 1큰술, 대파 흰부분 2대를 쏭쏭 썰어 넣고 볶아 향을 내줍니다.##그리고 고추가루 2 + 1/2큰술을 넣고 볶아 고추기름을 대신합니다.##그리고 준비한 장어를 넣고 볶아 줍니다.##장어가 거의 익으면 국간장 4큰술을 넣고 볶아 줍니다.##그리고 멸치, 다시마 끓인물 7컵을 붓고 끓여 줍니다.##뚜껑을 덮고 국물이 우러나도록 고르게 팔팔 끓여 주세요.##그리고 콩나물 한봉지...350g을 손질해 씻어 넣고 끓여 줍니다.##그리고 대파 초록부분 2대를 어슷하게 썰어 넣고 끓여 줍니다.##그리고 마지막으로 깻잎 10장을 굵직하니 채썰어 뭉치지않게 흩뿌려 넣고 후추로 마무리 간을 해줍니다.##"
25,해물볶음우동 만들어봤어요.,우동(일식),,,해물 비린내를 잡기 위해 맛술과 소주에 해물을 담가둔다.##양파 1/4개는 채 썬다.##볼에 양념재료를 넣고 양념장을 만든다.##끓는 물에 우동사리를 넣고 1분 정도 삶아 준 후 체에 밭쳐 물기를 뺀다.##달군 팬에 기름을 둘러주고 양파를 넣고 볶아 익힌다.##양파가 익으면 해물과 양념을 넣고 볶는다.##해물이 익으면 우동면을 넣고 재빨리 볶는다.##대파 한 움큼을 넣고 마무리 한다.##
26,얼큰순대국,순대국,순대 400g##사골육수 1팩##,고춧가루 2T##다진마늘 1T##표고버섯가루 1T##청양고추 1~2개##후추 약간##들깨가루 기호껏##부추 기호것##대파 기호껏##,"진공포장된 순대를 준비해서
식사 대용으로도
야식으로도
술안주로도
언제든 금방~!! 만들 수 있어요^^##순대는 찜통에 10분간 쪄줍니다
순대국에 넣을거니 살짝만 쪄도 돼요
순대400g
찜통
중불
어짜피 끓일건데
찜통에 찌지 않고 넣으면 안되는 이유는...
요거 은근 기름기가 있어서
(위에 사진 하얀기름 ㅠㅠ)
반드시 찜통에 쪄주세요^^##다대기는...
사골국 5T, 고춧가루 2T, 다진마늘 1T,
표고버섯가루 1T, 청양고추, 후추
분량의 양념장을 섞어 주세요##그 다음은 사골국만 있으면 돼요##1. 사골국을 먼저 팔팔 끓이고
2. 살짝~ 찐 순대를 썰어 넣고
3. 준비한 다대기를 넣어 주세요##한소끔 더 끓여주고
부추도 썰어 넣고
대파도 송송~ 썰어 넣고##마지막으로
들깨가루도 한 큰술 넣어 주세요
너무 많이 넣으면 텁텁한 맛이 나요##얼큰~한 순대국 완성이에요
저는 원래 속이 꽉 찬 아바이순대보다
찹쌀 순대를 좋아하는 촌스런(?) 입맛에
순대국에 들어가는 부산물 고기들도
즐겨하지 않아서
제 입에 딱 맞춘...짝퉁순대국이에요
버뜨~~!! 맛있어요##매콤한 고추
양념장에 콕~!! 찍어
곁들여 먹으면 느끼함까지 확~!! 날려줍니다
간단하게 끓이는 순대국 어떠세요?^^
술안주로도 좋고
해장국으로도 좋아요~ㅎㅎ##"
27,소고기버섯죽,소고기버섯죽,소고기 갈은것##표고버섯 ##양파 ##애호박 ##당근 ##쌀 ##,참기름 ##소금 ##통깨 ##김가루 ##,"표고버섯, 양파, 애호박, 당근은 다져서 준비해주세요~##불린 쌀을 체에 받쳐 물기를 빼주시고
참기름을 두른 냄비에 쌀을 볶다가
쌀이 반투명하게 볶아지면 소고기를 넣고 함께 볶아주세요~##소고기의 표면이 갈색으로 변하면
다져놓은 채소들을 모두 넣고 볶아주신 다음
물을 붓고 끓여줍니다~##쌀알이 잘 퍼지도록
약한불로 줄여 저어가며 뭉근히 끓여주시다가
소금으로 간을 하시고
김가루와 통깨를 얹어 내시면
소고기버섯죽 완성~~!!!##"
28,:: 게맛살 요리 :: 고소한 계란과 야채를 넣은 게살죽 끓이는 법,게살죽,게맛살 8개##당근 1/4개##양파 1/2개##계란 1개##식용유 1T##밥 2공기##치킨스톡 1T##굴소스 1T##소금 1t##물 750ml##참기름 1/2T##,,"양파 반개를 잘게 다져주세요.##당근 1/4개도 최대한 잘게 다져주세요.##크래미 8개를 결대로 찢어서 준비해 주세요.##계란 1개도 잘 풀어줍니다.##냄비에 썰어 놓은 양파와 당근을 넣고 식용유 1T를 넣은 후에 센불에 3~4분 정도만 살짝 볶아주세요.##야채가 볶아지면 밥 2공기를 넣고 물 약 550ml를 부어주세요. 그리고 밥알을 잘 풀어줍니다.##죽이 보글보글 끓기 시작하면 치킨스톡 1T를 넣어주세요.##굴소스 1T를 넣어주세요. 불은 중불로 줄여줍니다.##물 200ml를 추가로 보충해 주고 끓여주세요.##당근이 다 익을 때쯤 소금 1t를 넣어주세요.##찢어 놓은 크래미도 모두 넣어주세요.##밥알이 적당히 풀어질 때까지 죽을 계속 저어주며 끓여주세요.##밥알이 먹기 좋은 상태가 되면 풀어놓은 계란을 넣고 약불로 줄인 후, 약 1분 정도 젓지 말아주세요. 그리고 계란 모양이 잡히면 살짝만 젓고 불을 꺼주세요.##마지막으로 참기름 1/2T를 넣은 후 잘 섞어주세요.##부드럽고 게살향이 너무나 좋은 게살죽 완성이에요!##"
29,든든하게 시작하는 아침식사! 참치죽,참치죽,밥 1공기##,김가루 약간##부순 참깨 약간##,"냄비에 밥과 물(5컵)을 붓고 저어가며 센 불에서 끓인다.
밥 1공기
냄비
센 불##참치의 기름기를 제거한다.
참치 1캔(210g)##끓기 시작하면 중간 불로 줄여 10분간 더 끓인 뒤 참치를 넣고 끓인다.
중간 불##걸쭉한 농도가 나면 다진 자투리채소를 넣고 끓인다.
자투리채소(다양하게) 1컵##다시 한 번 끓어오르면 국간장, 소금으로 간 한다.
국간장 1큰술, 소금 약간##그릇에 담고 고명을 올려 마무리.
고명: 김가루, 부순 참깨, 참기름 1큰술##"
30,답답했던 속이 뻥~~개운한 콩나물국밥 *^^*,콩나물국밥,콩나물 5줌정도(400g)##대파 1개정도##청양고추 2~3개정도##새우젓 ##국간장 1T##소금 1/2T##밥 ##,물 13컵##국물용멸치 1줌##다시마 3조각##,"1. 멸치다시마육수 끓이기 : 냄비에 물13컵. 국물용멸치 한줌. 다시마3조각를 넣고 센불에서 끓으면
중불로 줄여 10분동안 끓여준후 고운체에 걸러 멸치다시마육수 10컵을 준비합니다
==> 육수를 끓일때 뚜껑은 열고 끓이세요!##2. 양념장 만들기 : 그릇에 위에서 준비한 멸치다시마육수10컵 중 1T를 넣고...
고추가루3T. 다진마늘1T. 국간장1T. 후춧가루소량를 넣어 양념장을 만들어줍니다.##3. 콩나물5줌정도(400g)은 씻어서 물기를 빼줍니다.##4. 대파1개는 총총 썰고요..청양고추도 총총 썰고요...새우젓은 한두번만 썰어 준비합니다.
==> 콩나물국밥은 새우젓으로 간을 해야 맛있답니다. 새우젓 국물도 조금 준비해주세요.##5. 자~~ 이제 모든 재료 준비가 되었으니 끓이면 됩니다.
냄비에 위1번에서 준비한 멸치다시마육수를 넣고 센불에서 끓여줍니다. 팔팔 끓기 시작하면...뚜껑을 열어 놓은채...
콩나물을 넣고 4분 끓여줍니다.
콩나물을 4분정도 끓여주면 아삭하게 익었을겁니다. 콩나물만 집게로 건져서 소쿠리에 한김 식혀줍니다.
가스불은 끄시고요..냄비에 남은 육수에 국간장1T. 소금1/2T정도를 넣어 간을 살짝해줍니다.
==> 나중에 새우젓과 양념장으로 간을 맞추기 때문에 밑간은 살짝만 해주면 됩니다.
==> 콩나물을 이렇게 식혀주셔야 아삭한 식감을 살릴수 있답니다.##6. 뚝배기에 밥을 담고.. 그 위에 콩나물을 올리고.. 위5번에서 준비한 육수 부어주시고요...
준비한 대파.청양고추.새우젓.양념장 올려주면 완성입니다.
드실때 기호에 맞게 새우젓으로 간을 맞추세요.##"
31,불맛으로 화끈하게♥불맛짬뽕라면,짬뽕라면,라면 1봉지##대패삼겹살 1줌##양파 1/4개##양배추 약간##대파 1/2대##뜨거운 물 500ml##,진간장 1숟가락##고춧가루 1숟가락##,"대파는 송송 썰고 양파, 양배추는 채 썰어 준비한다.##팬에 식용유를 두르고 대패삼겹살, 대파, 양파를 넣고 태우듯이 충분히 볶는다.##양파가 노릇해지면 양배추를 넣고 진간장을 넣는다.##고춧가루를 넣고 뜨거운 물을 붓는다.##라면 후레이크, 라면스프, 면을 넣고 끓여 완성한다.##"
32,잡탕밥,잡탕밥,,치킨스톡 1개##굴소스 3큰술##간장 3큰술##물 2컵##맛술 2큰술##소금 약간##후추 약간##참기름 약간##전분 3~5큰술##기름 약간##,"버섯은 모양대로 썰어 위의 재료들을 손질해줍니다.##팬에 기름을 두르고 마늘 해물, 돼지고기를 볶아줍니다.##양파, 당근, 버섯 등을 넣고 볶다가 나중에 시금치와 대파를 넣고 볶아줍니다.##물을 붓고 치킨스톡을 넣고 끓으면 굴소스, 간장 등을 넣고 간을 맞춰줍니다 전분을 물에 풀어 농도를 걸쭉하게 맞추고 참기름으로 마무리합니다.##접시에 밥을 담고 소스를 넉넉히 부어주면 잡탕밥, 버섯덮밥 완성이에요. 시금치 대신 청경채를 넣으면 더 맛있는데요, 없으면 이렇게 시금치를 넣어도 부드럽고 맛있답니다.##"
33,닭개장 끓이기 어렵지않아요~/얼큰한 국물요리,닭개장,닭 1마리##고사리 200g##숙주나물 1봉지##대파 3뿌리##양파 1개##홍고추 3개##물(머그컵) 10컵##,다진마늘 2아빠숟가락##고추기름 8아빠숟가락##고춧가루 4아빠숟가락##국간장 8아빠숟가락##천일염 약간##후추 약간##,"먼저 마트에 흔히 파는 닭한마리 준비해주세요.
촌닭으로 하셔도 무방하지만 그냥 저렴한 닭한마리면 됩니다 ^^
저기위에 붉은 동그라미표시 보이시죠????
저기에 닭은 지방이 젤 많이 붙어있어요..
★ 닭 꽁지부분과 목줄기에 있는 지방을 제거해주세요. ★
지방을 제거하셔야 닭 잡내도 나지않고 깔끔하게 육수를 뺄수 있답니다.##그런다음 물 적당량을 넣고 찬물에 닭을 넣은뒤 한번 삶아줍니다.
센불로 조절하고 끓기 시작하면 5분정도만 삶고 물은 버려주세요.
핏물을 빼고 바로하는 방법도 있지만 핏물을 빼려면 2시간 이상 담궈둬야하니
우리는 시간을 절약하자구요.
딱 5분만 끓이고 물버리는거 잊지마세요^^
데친 닭은 찬물에 행궈서 준비해 놓습니다.##그다음에는 머그컵에 물을 가득채워 솥에 10컵 넣어주세요.
닭을 푹 끓여 닭육수를 만들어야하기 때문에 물을 여유있게 넣어줄겁니다.##솥에 아까 5분동안 끓여 핏기를 빼고 찬물에 씻어둔 닭을 넣고
뚜껑을 덮은뒤 약 30분가량 푹 끓여주세요.
다 삶아진 닭은 꺼내시고 닭육수 우러난것은 거품을 걷어 맑게 준비해둡니다.
버리시면 안되요 ^^##닭이 삶아지고 있는동안 야채를 준비할께요.
숙주는 잘 씻어 물기를 빼놓습니다.##말려진 고사리는 물에 잘불려 살짝 삶아서 준비하세요.
마트에서 삶아진 고사리를 사셨다면 물에 한번 행군뒤 물기를 빼고 준비하시면 되구요.
만약 봄철 생고사리를 사셨다면 요것도 살짝만 데치심되요.
이따가 고사리는 육수에 같이 끓일꺼니까 2~3분정도만 삶으심 됩니다.##가볍게 삶아진 고사리는 먹기좋은 크기로 썰어놓으세요.##양파도 먹기좋게 썰어주시구요.##닭개장이나 육개장은 대파가 많이 들어가야 시원하고 잡내도 없는거 아시죠??
여유있게 3개를 길쭉한 길이로 썰어놉시다.
길이는 3~4cm 정도면 되겠네요.##재료준비하는동안 닭이 아주 잘 삶아졌네요.##잘 삶아진 닭은 요렇게 잘게 찢어서 준비해놓습니다.
뜨거우니 좀 식혀서 찢으세요....손 데입니다 ^^
여기서 킥포인트!!!!
살을 다 발라내고 남은 닭뼈는 닭을 삶고 남은 육수에 넣어 뚜껑을 덮고 20분정도 더 끓여준후 닭뼈는 건져주세요.
닭뼈에서 우러나온 국물이 더 구수하고 감칠맛나게 해주니까요 ^^
닭육수가 끓고 있는동안 양념을 좀 해볼까요!!!!
닭개장을 할때는 (육개장도 마찬가지) 미리 고기랑 나물에 밑간을 하시면 더 진한 국물을 우릴수있답니다.##고사리와 발라놓은 닭살을 같이 담고 그위에 고추기름 8아빠숟가락을 넣어주세요.
닭개장이나 육개장엔 고추기름이 들어가야 더 얼큰하고 개운하답니다.
고추기름은 고춧가루와 식용유로 만들면 되는데 저는 그냥 마트에서 파는걸 사왔습니다.
쉽게 가자구요 ㅎㅎㅎㅎㅎ##다음은 고춧가루 4아빠 숟가락을 크게 떠서 넣어주세요.
매운 고춧가루면 한숟가락 덜 넣으셔도 되요.
루비씨는 얼큰한걸 좋아하므로 매운고춧가루에도 불구하고 4아빠숟가락을 넣었습니다.##이제 국간장 8아빠숟가락을 넣어줍니다.##여기에 다진마늘을 2아빠숟가락을 넣어주세요.##이제 고사리와 닭고기를 양념과 잘 섞어준후 아까 뼈를 건져낸 닭육수에 넣어서 끓여줍니다.
( 이 사진은 루비씨가 아마 딴생각을 하지않았나....왜이렇게 흐려 ㅜㅜ)##닭개장이 맛있게 끓어오르는 냄비속에 숙주 , 대파 , 양파를 넣고 뚜껑을 닫은후 10분만 더 끓여주세요.##홍고추도 넣어주시구요.
간을 보시고 싱거우면 천일염으로 맞춰주세요.##마지막으로 후추 약간 뿌리시고 불을 꺼주시면 완성!!!!!!
어때요????
닭계장 끓이기 어렵지않죠?
루비씨 믿고 맛나게 끓여보세요 ^^##"
